#Symbol;Code;CommServer;CommServer Volume;CommServer Runtime;NetworkConfig;NetworkConfig Volume;Redundacy;Redundacy Volume;Multi-chanel GUID;Multi-chanel Volume;ASA;OTA;OPC Enviroment;Maintenance;MODBUS/RS;MODBUS/IP;MBUS;SBUS/IP;SBUS/RS;Excel;DataPorter transaction ;Browse View ;3D View ;Import ;Export ;UA Server ;Custom Editors ;Build Solution ;Save Function Constraint;OPC Servers GUID;OPC Servers Volume;OPC Servers Runtime
#Symbol;Code;0f87d35c-b978-4d6c-bacf-de0566a0dc51;Volume;Runtime;577750fc-cf14-406f-b367-41ce15563265;Volume;db304c5f-c8fe-442b-bb73-edbdef541fdf;Volume;eb5cc34c-c18b-4727-ae78-8e183befc4a3;Volume;f3c086de-30ec-426d-b507-8114074a9840;75232b03-e9b9-41e8-9a99-a75a0d0cc21c;bfddbfb8-332e-473b-9fda-3621699bd28b;64fbd005-2d72-476b-8523-e298d5fc2e79;746aa023-ece4-427e-bece-db0845716029;1c38514b-6801-44de-aab9-1e406b3aae77;b421239f-7051-44cf-bc87-b8b659be31ec;e1f88110-13b3-4c70-9234-c8a95aab9bcf;d83fa3b0-161a-4426-a2eb-b6c513a8cee8;1bf2dc74-b605-4e5a-a087-62d20c4d558c;146afc90-4872-418d-b97a-d691dcf7cf5b;d3028d63-52a1-4a66-9946-b8048c459ac7;98925bc5-f27f-4114-bf1e-385ba2aec9b7;0d675c59-39b8-4522-9fa6-074af8a3ea9d;6d0a7a45-9adc-456e-a1ea-c0f926e3c96c;9f0b0964-93b8-4775-9106-95c0dcbfead5;3713dde1-b759-4b5c-bbd0-5b1e8422fa61;4df37528-e9cb-4fb7-ae1a-5ad9639ec04e;2601698a-593a-40f0-afcc-4c205a67a3c3;ce855cce-6d00-414b-bb2f-269ad2951d10;Volume;Runtime
CSUA-SE-300;v91f5261;1;300;-1;1;300;1;1;1;5;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;-1
CSUA-SE-500;z2edc6f2;1;500;-1;1;500;1;1;1;5;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;-1
CSUA-SE-1K;m021f15e;1;1000;-1;1;1000;1;1;1;5;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;-1
CSUA-SE-4K;k395a9f5;1;4000;-1;1;4000;1;1;1;5;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;-1
CSUA-PE-1K;a841cfcb;1;1000;-1;1;1000;1;2;1;5;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;-1
CSUA-PE-4K;cdba04e4;1;4000;-1;1;4000;1;2;1;5;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;-1
CSUA-PE-10K;p1bc195c;1;10000;-1;1;10000;1;2;1;5;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;-1
CSUA-PE-60K;fc5fcad1;1;60000;-1;1;60000;1;2;1;5;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;-1
OPCUA_SAIA_RS200;uf87756f;1;200;-1;1;200;1;1;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;-1
OPCUA_SAIA_RS1K;q38a28dd;1;1000;-1;1;1000;1;1;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;-1
OPCUA_SAIA_IP200;f07dafb2;1;200;-1;1;200;1;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;-1
OPCUA_SAIA_IP1K;yce80c24;1;1000;-1;1;1000;1;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;-1
OPCUA_MODBUS_RS200;la3249ec;1;200;-1;1;200;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;-1
OPCUA_MODBUS_RS1K;a4cd31ea;1;1000;-1;1;1000;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;-1
OPCUA_MODBUS_IP200;e6901a3c;1;200;-1;1;200;1;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;-1
OPCUA_MODBUS_IP1K;ee372dec;1;1000;-1;1;1000;1;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;-1
OPCUA_MBUS_200;rfeac3c0;1;200;-1;1;200;1;1;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;-1
OPCUA_MBUS_1K;e38662e3;1;1000;-1;1;1000;1;1;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;-1
OPCUA_CONTROL_200;f00442c4;1;200;-1;1;200;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;-1
OPCUA_CONTROL_1K;d93514b7;1;1000;-1;1;1000;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;-1
OPCUA_XLS_200;ne029fac;1;200;-1;1;200;1;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;-1
OPCUA_XLS_1K;ae8d27c8;1;1000;-1;1;1000;1;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;-1
CSUAW-1K;kf19d89c;1;1000;-1;1;1000;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;-1
CSUAW-4K;o7fj332s;1;4000;-1;1;4000;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;-1
CSUAW-300;v7dj994s;1;300;-1;1;300;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;-1
Demo;DefaultDemo;1;50;2;1;50;1;2;1;5;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;1;1;2
TRIAL;310bfe11;1;60000;-1;1;60000;1;2;1;5;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;-1
